PART_NO,VILLAGE,SECTION_NO,SECTION_ADDRESS
1,Jivand Kalan,1,"Barala Vas ,Jivand Kalan"
1,Jivand Kalan,2,"Naiyo Ka Vas ,Jivand Kalan"
1,Jivand Kalan,3,"Pipali Wala Vas ,Jivand Kalan"
1,Jivand Kalan,4,"Latavala Vas ,Jivand Kalan"
1,Jivand Kalan,5,"Jain Mandir Chouraha ,Jivand Kalan"
1,Jivand Kalan,6,"Vader Vas ,Jivand Kalan"
1,Jivand Kalan,7,"Varavo Ka Vas ,Jivand Kalan"
1,Jivand Kalan,8,"Sado Ka Vas ,Jivand Kalan"
1,Jivand Kalan,9,"Purohito Ka Vas ,Jivand Kalan"
1,Jivand Kalan,10,"Ravla Ka Vas ,Jivand Kalan"
1,Jivand Kalan,11,Jivand Kalan
2,Jivand Kalan,1,"Dhani Valo Ka Vas ,Jivand Kalan"
2,Jivand Kalan,2,"Choudhariyo Ka Vas-1 ,Jivand Kalan"
2,Jivand Kalan,3,"Bhomiyo Ka Vas ,Jivand Kalan"
2,Jivand Kalan,4,"Am Samata ,Jivand Kalan"
2,Jivand Kalan,5,"Samata Wala Vas ,Jivand Kalan"
2,Jivand Kalan,6,"Dhani Mataji Ka Mandir ,Jivand Kalan"
2,Jivand Kalan,7,"Kago Ka Vas ,Jivand Kalan"
2,Jivand Kalan,8,"Devasiyo Ka Vas ,Jivand Kalan"
2,Jivand Kalan,9,"Choudhariyo Ka Bas-2 ,Jivand Kalan"
2,Jivand Kalan,10,"Bhato Ka Vas ,Jivand Kalan"
2,Jivand Kalan,11,"Dhani Nai Basti ,Jivand Kalan"
2,Jivand Kalan,12,"Meghvalo Ka Vas ,Jivand Kalan"
2,Jivand Kalan,13,"Barapho Ki Dhani ,Jivand Kalan"
3,Boradi,1,"Badavas ,Boradi"
3,Boradi,2,"Sajavato Ka Vas ,Boradi"
3,Boradi,3,"Baladiyo Ka Vas ,Boradi"
3,Boradi,4,"Sado Ka Vas ,Boradi"
3,Boradi,5,"Nadol Road ,Boradi"
4,Boradi,1,"Am Rasta ,Boradi"
4,Boradi,2,"Meghwalon Ka Vas-1 ,Boradi"
4,Boradi,3,"Choudhariyo Ka Vas ,Boradi"
4,Boradi,4,"Indira Colony ,Boradi"
4,Boradi,5,"Rabadiyo Ka Vas-1 ,Boradi"
4,Boradi,6,"Teliyo Ka Vas ,Boradi"
4,Boradi,7,"Meghwalon Ka Vas-2 ,Boradi"
4,Boradi,8,"Main Bazar ,Boradi"
4,Boradi,9,"Sadulaji Ka Vas ,Boradi"
4,Boradi,10,"Rabadiyo Ka Vas-2 ,Boradi"
5,Guda Roopsingh,1,"Nai Basti ,Guda Roopsingh"
5,Guda Roopsingh,2,"Saragaro Ka Vas ,Guda Roopsingh"
5,Guda Roopsingh,3,"Main Rasta Jivand Kalan ,Guda Roopsingh"
5,Guda Roopsingh,4,"Meghwalon Ka Vas ,Guda Roopsingh"
5,Guda Roopsingh,5,"Am Rasta-1 ,Guda Roopsingh"
5,Guda Roopsingh,6,"Choudhariyo Ka Vas ,Guda Roopsingh"
5,Guda Roopsingh,7,"Ravali Pol ,Guda Roopsingh"
5,Guda Roopsingh,8,"Am Rasta-2,Guda Roopsingh"
5,Guda Roopsingh,9,"Am Chouraha ,Guda Roopsingh"
5,Guda Roopsingh,10,"Am Rasta-3 ,Guda Roopsingh"
5,Guda Roopsingh,11,"Hanuman Ji Mandir ,Guda Roopsingh"
5,Guda Roopsingh,12,"Nadi Ke Pas ,Guda Roopsingh"
5,Guda Roopsingh,13,"Am Rasta Nadol ,Guda Roopsingh"
5,Guda Roopsingh,14,"Jivand Khurd Rasta ,Guda Roopsingh"
5,Guda Roopsingh,15,"Sariyo Ka Vas ,Guda Roopsingh"
6,Jivand Khurd,1,"Bera Navoda ,Jivand Khurd"
6,Jivand Khurd,2,"Raiko Ka Vas ,Jivand Khurd"
6,Jivand Khurd,3,"Charano Ka Vas ,Jivand Khurd"
6,Jivand Khurd,4,"Ravali Pol-1 ,Jivand Khurd"
6,Jivand Khurd,5,"Kumharo Ka Vas ,Jivand Khurd"
6,Jivand Khurd,6,"Ravali Pol-2 ,Jivand Khurd"
6,Jivand Khurd,7,"Nipal Rasta ,Jivand Khurd"
6,Jivand Khurd,8,"Am Rasta ,Jivand Khurd"
6,Jivand Khurd,9,"Jivand Khurd Rasta ,Jivand Khurd"
6,Jivand Khurd,10,Jivand Khurd
7,Gawara,1,"Choudhariyo Ki Uparali Gali ,Gavada"
7,Gawara,2,"Ambemata Mandir Ke Pas ,Gavada"
7,Gawara,3,"Bichali Gali ,Gavada"
7,Gawara,4,"Bangalavas ,Gavada"
7,Gawara,5,"Koyatabas Gali ,Gavada"
8,Gawara,1,"Purohito Ka Bas ,Gavada"
